id,title,description,modified_date,start_year,end_year,rating,type,character_id,comics_id
1945,Avengers: The Initiative (2007 - 2010),,2013-03-20T17:51:27-0400,2007,2010,T,,1011334,6232
2005,Deadpool (1997 - 2002),"Wade Wilson: Heartless Merc With a Mouth or...hero? Laugh, cry and applaud at full volume for the mind-bending adventures of Deadpool, exploring the psyche and crazed adventures of Marvel's most unstable personality!",2017-05-30T17:08:43-0400,1997,2002,,,1011334,8461
2045,Marvel Premiere (1972 - 1981),,2018-03-01T13:17:00-0500,1972,1981,,,1011334,10195
17765,FREE COMIC BOOK DAY 2013 1 (2013),,2019-09-23T20:59:37-0400,2013,2013,,one shot,1017100,47176
3374,Hulk (2008 - 2012),"General Thunderbolt Ross spent years hunting the Hulk, but now he's become one himself! As the rampaging Red Hulk, Ross strives to reconcile the man he used to be with the monster he's becomes, smashing anything that moves along the way!",2019-09-05T14:34:04-0400,2008,2012,,,1017100,17623
13082,Ant-Man & the Wasp (2010 - 2011),,2011-05-25T10:54:26-0400,2010,2011,,,1009144,36765
354,Avengers (1998 - 2004),"The Avengers return! Earth's Mightiest Heroes reunite with their biggest guns at the forefront to take on familiar enemies and new threats alike! Featuring the work of Kurt Busiek, George Perez and other quintessential Avengers creators!",2013-03-01T13:18:46-0500,1998,2004,T+,ongoing,1009144,3589
1991,Avengers (1963 - 1996),"Avengers Assemble! Iron Man, Thor, Captain America and the rest of Earth's Mightiest Heroes unite to stand against the threats none can face alone! See the Avengers go up against Ultron, Kang, the Masters of Evil and more over three decades of epic action!",2018-02-17T08:36:59-0500,1963,1996,,ongoing,1009144,6951
23123,Avengers and Power Pack (2017),,2017-08-09T10:52:46-0400,2017,2017,All Ages,limited,1009144,63215
1046,Avengers and Power Pack Assemble! (2006),,2018-02-15T15:29:09-0500,2006,2006,All Ages,,1009144,4106
23600,Avengers by Brian Michael Bendis: The Complete Collection Vol. 2 (2017),,2017-10-06T12:20:12-0400,2017,2017,,collection,1009144,64790
35600,Avengers Unlimited Infinity Comic (2022 - Present),,2022-07-08T06:32:45-0400,2022,2023,,,1009144,103355
227,Avengers Vol. 2: Red Zone (2003),,-0001-11-30T00:00:00-0500,2003,2003,MARVEL PSR,collection,1009144,1170
271,Avengers Vol. II: Red Zone (2003),,-0001-11-30T00:00:00-0500,2003,2003,MARVEL PSR,collection,1009144,1214
1996,Captain America (1968 - 1996),"The Star-Spangled Avenger fights for freedom! Emerging from years on ice following World War II, Steve Rogers must adapt to a world that has gone on without him while also protecting his nation from the forces that would conspire to tear it apart!",2013-03-01T13:26:08-0500,1968,1996,,ongoing,1009144,7481
1997,Captain America (1998 - 2002),,2013-03-01T13:34:02-0500,1998,2002,,ongoing,1009144,12767
23810,"Captain America by Mark Waid, Ron Garney & Andy Kubert (2017)",,2017-12-01T14:59:39-0500,2017,2017,,collection,1009144,65466
3743,Defenders (1972 - 1986),,2018-05-03T12:57:47-0400,1972,1986,,,1009144,20262
8842,Incredible Hulks (2010 - 2011),"Nobody loves you like your family--and nobody can you make you quite as crazy! With his son Skaar, cousin She-Hulk, ex-wife Red She-Hulk and more, Bruce Banner, aka the Incredible Hulk, attempts to harness his Gamma-powered brood for good!",2018-02-20T11:25:47-0500,2010,2011,,,1009144,31074
16583,Indestructible Hulk (2012 - 2014),"Hulk - Indestructible force more weapon than man. Banner - smartest man alive. Combined they are the Strongest, Smartest Weapon on the planet! And NOW! the INDESTRUCTIBLE HULK is an Agent of S.H.I.E.L.D.!",2019-09-13T15:39:44-0400,2012,2014,,,1009144,43911
2029,Iron Man (1968 - 1996),The Armored Avenger battles super villains as well as corporate sabotage and his own personal demons in this landmark series! See the stories that formed the basis for Tony Stark becoming a household name!,2013-05-21T13:22:55-0400,1968,1996,,,1009144,9327
16593,Iron Man (2012 - 2014),"Tony Stark-Iron Man: Technological visionary, wealthy playboy, unparalleled engineer, and armored Avenger. His greatest invention becomes his greatest mistake. Iron Man must act fast...and Tony Stark must build faster! The lethal techno virus Extremis is out in the wild and out for grabs to the highest bidder! It's up to Tony Stark to contain it and that means creating a new suit of armor...NOW!",2021-11-01T11:49:32-0400,2012,2014,,,1009144,43944
23915,Iron Man Epic Collection: Doom (2018),,2018-01-18T17:44:18-0500,2018,2018,,collection,1009144,65941
9718,Marvel Adventures Super Heroes (2010 - 2012),"The perfect line to introduce young readers to the Marvel Universe, Marvel Adventures titles takes a classic comic sensibility and fuses it with an unmistakably modern style and wit.  Marvel Adventures Super Heroes is loaded with the best team-ups around featuring all your favorite heroes including Spider-Man, Hulk, Iron Man and the rest of the Marvel Universe!",2012-03-22T10:49:39-0400,2010,2012,ALL AGES,ongoing,1009144,30119
189,Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (2003),,-0001-11-30T00:00:00-0500,2003,2003,ALL AGES,collection,1009144,1130
789,Dark Avengers (2012 - 2013),"Most of the Marvel Universe has given up on career super villains like Juggernaut, Moonstone and Crossbones, but criminal-turned-Avenger Luke Cage believes everybody deserves a second chance. Can the former Power Man turn this crew around?",2014-10-23T13:17:59-0400,2012,2013,T,ongoing,1010699,40775
3374,Hulk (2008 - 2012),"General Thunderbolt Ross spent years hunting the Hulk, but now he's become one himself! As the rampaging Red Hulk, Ross strives to reconcile the man he used to be with the monster he's becomes, smashing anything that moves along the way!",2019-09-05T14:34:04-0400,2008,2012,,,1017100,17623
2085,Universe X (2000 - 2001),,2017-01-11T15:14:36-0500,2000,2001,,,1010699,11914
354,Avengers (1998 - 2004),"The Avengers return! Earth's Mightiest Heroes reunite with their biggest guns at the forefront to take on familiar enemies and new threats alike! Featuring the work of Kurt Busiek, George Perez and other quintessential Avengers creators!",2013-03-01T13:18:46-0500,1998,2004,T+,ongoing,1009144,3589
158,Avengers Vol. 1: World Trust (2003),,-0001-11-30T00:00:00-0500,2003,2003,MARVEL PSR,collection,1009146,1098
378,Earth X (1999 - 2000),,2020-03-24T12:12:17-0400,1999,2000,,,1009146,8546
1806,EARTH X TPB [NEW PRINTING] (2006),,-0001-11-30T00:00:00-0500,2006,2006,RATED T+,collection,1009146,4241
3374,Hulk (2008 - 2012),"General Thunderbolt Ross spent years hunting the Hulk, but now he's become one himself! As the rampaging Red Hulk, Ross strives to reconcile the man he used to be with the monster he's becomes, smashing anything that moves along the way!",2019-09-05T14:34:04-0400,2008,2012,,,1017100,17623
465,Hulk (1999 - 2008),The Hulk goes from fugitive to interstellar gladiator in this eclectic series featuring Greg Pak's classic Planet Hulk epic!,2019-06-25T09:13:37-0400,1999,2008,,,1009146,14269
924,Hulk: Destruction (2005),,2018-02-15T12:10:23-0500,2005,2005,Parental Advisory,,1009146,2244
2021,Incredible Hulk (1962 - 1999),"Trapped in a the radioactive blast of a Gamma Bomb, withdrawn Doctor Bruce Banner becomes the rampaging Incredible Hulk! Witness the evolution of Marvel's most unstoppable force, from sinister brute to uncontrollable beast and every stage in between.",2016-09-22T16:36:43-0400,1962,1999,,,1009146,8906
2983,Incredible Hulk Annual (1976 - 1994),"Is he a man, monster or both? It's the Incredible Hulk, born of a gamma blast that scientist Bruce Banner was caught in.",2021-05-13T14:25:25-0400,1976,1994,,,1009146,16878
22424,Incredible Hulk Epic Collection: The Hulk Must Die (2017),,2017-10-19T17:36:01-0400,2017,2017,,collection,1009146,60692
212,Incredible Hulk Vol. 4: Abominable (2003),,-0001-11-30T00:00:00-0500,2003,2003,MARVEL PSR,collection,1009146,1153
244,Incredible Hulk Vol. IV: Abominable (2003),,-0001-11-30T00:00:00-0500,2003,2003,MARVEL PSR,collection,1009146,1187
8842,Incredible Hulks (2010 - 2011),"Nobody loves you like your family--and nobody can you make you quite as crazy! With his son Skaar, cousin She-Hulk, ex-wife Red She-Hulk and more, Bruce Banner, aka the Incredible Hulk, attempts to harness his Gamma-powered brood for good!",2018-02-20T11:25:47-0500,2010,2011,,,1009144,31074
2572,Iron Man (1998 - 2004),"The Golden Avenger rockets into the 21st century with new technology, new enemies, new loves and even his own armor turning against him!",2017-08-30T16:08:38-0400,1998,2004,,,1009146,37769
977,Irredeemable Ant-Man (2006 - 2007),,2013-04-09T13:30:28-0400,2006,2007,T,,1009146,5199
2423,Irredeemable Ant-Man Vol. 1: Low-Life (2007),,2013-05-23T15:28:44-0400,2007,2007,Rated T+,,1009146,15894
3722,Killraven (2002 - 2003),,2015-01-08T13:18:04-0500,2002,2003,,,1009146,19855
